goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/raw-franz-go-16                        68.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/sarama-16                              148.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/golib-policy-16                      91.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/raw-franz-go-16                      68.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/sarama-16                            153.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/golib-policy-16                       275.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/raw-franz-go-16                       158.0 ± 1%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/sarama-16                             607.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/golib-policy-16                     275.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/raw-franz-go-16                     159.0 ± 1%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/sarama-16                           613.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/golib-policy-16                       91.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/raw-franz-go-16                       68.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/sarama-16                             148.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/golib-policy-16                     91.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/raw-franz-go-16                     68.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/sarama-16                           153.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/golib-policy-16                      281.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/raw-franz-go-16                      160.5 ± 1%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/sarama-16                            610.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/golib-policy-16                    282.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/raw-franz-go-16                    162.5 ± 1%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/sarama-16                          616.5 ± 0%
geomean                                                                                               180.5
