benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/sarama-16             	      10	   8712617 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10812 B/op	     171 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/sarama-16             	      10	  15898942 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   10819 B/op	     171 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/sarama-16             	      10	  13103304 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   11013 B/op	     175 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/sarama-16             	      10	  10493983 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   10848 B/op	     172 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/sarama-16             	      10	  10544771 ns/op	   0.01 MB/s	         1.000 records/op	         1.000 transactions/op	   10804 B/op	     171 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/sarama-16             	      10	   9561604 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10800 B/op	     171 allocs/op
BenchmarkEquivalentTransactionalProduce/1-records/128B/snappy/sarama-16             	      10	  10022308 ns/op	   0.02 MB/s	         1.000 records/op	         1.000 transactions/op	   10820 B/op	     171 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  29413642 ns/op	   0.05 MB/s	        10.00 records/op	         1.000 transactions/op	   63006 B/op	     900 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  26018425 ns/op	   0.06 MB/s	        10.00 records/op	         1.000 transactions/op	   62896 B/op	     900 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  27223379 ns/op	   0.06 MB/s	        10.00 records/op	         1.000 transactions/op	   63062 B/op	     901 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  31695496 ns/op	   0.05 MB/s	        10.00 records/op	         1.000 transactions/op	   62732 B/op	     893 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  34514292 ns/op	   0.04 MB/s	        10.00 records/op	         1.000 transactions/op	   61332 B/op	     856 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  24500329 ns/op	   0.06 MB/s	        10.00 records/op	         1.000 transactions/op	   62359 B/op	     887 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  25680254 ns/op	   0.06 MB/s	        10.00 records/op	         1.000 transactions/op	   63033 B/op	     900 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  25462671 ns/op	   0.06 MB/s	        10.00 records/op	         1.000 transactions/op	   63104 B/op	     901 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  25084633 ns/op	   0.06 MB/s	        10.00 records/op	         1.000 transactions/op	   62443 B/op	     886 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  21925821 ns/op	   0.07 MB/s	        10.00 records/op	         1.000 transactions/op	   61272 B/op	     870 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  30987483 ns/op	   0.05 MB/s	        10.00 records/op	         1.000 transactions/op	   60545 B/op	     855 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  28802142 ns/op	   0.05 MB/s	        10.00 records/op	         1.000 transactions/op	   62515 B/op	     892 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  23956375 ns/op	   0.06 MB/s	        10.00 records/op	         1.000 transactions/op	   62106 B/op	     885 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  25935050 ns/op	   0.06 MB/s	        10.00 records/op	         1.000 transactions/op	   63166 B/op	     901 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  28959362 ns/op	   0.05 MB/s	        10.00 records/op	         1.000 transactions/op	   63242 B/op	     901 allocs/op
BenchmarkEquivalentTransactionalProduce/10-records/128B/none/golib-policy-16        	      10	  22713308 ns/op	   0.07 MB/s	        10.00 records/op	         1.000 transactions/op	   60988 B/op	     862 allocs/op
