benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6525919 ns/op	   0.22 MB/s	        10.00 records/op	   17150 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6541427 ns/op	   0.22 MB/s	        10.00 records/op	   17258 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6476642 ns/op	   0.22 MB/s	        10.00 records/op	   17591 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6356438 ns/op	   0.22 MB/s	        10.00 records/op	   17227 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6425362 ns/op	   0.22 MB/s	        10.00 records/op	   17480 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6423232 ns/op	   0.22 MB/s	        10.00 records/op	    6289 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6499956 ns/op	   0.22 MB/s	        10.00 records/op	    6653 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6424469 ns/op	   0.22 MB/s	        10.00 records/op	    6213 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6316721 ns/op	   0.22 MB/s	        10.00 records/op	    7008 B/op	      76 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6350157 ns/op	   0.22 MB/s	        10.00 records/op	    6289 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6364762 ns/op	   0.22 MB/s	        10.00 records/op	    6881 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6368272 ns/op	   0.22 MB/s	        10.00 records/op	    6310 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6435317 ns/op	   0.22 MB/s	        10.00 records/op	    6888 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6406273 ns/op	   0.22 MB/s	        10.00 records/op	    6882 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6531851 ns/op	   0.22 MB/s	        10.00 records/op	    6331 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6461783 ns/op	   0.22 MB/s	        10.00 records/op	    6910 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   7156928 ns/op	   0.20 MB/s	        10.00 records/op	    6289 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6235262 ns/op	   0.23 MB/s	        10.00 records/op	    6475 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6409055 ns/op	   0.22 MB/s	        10.00 records/op	    6289 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6319497 ns/op	   0.22 MB/s	        10.00 records/op	    6744 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6258624 ns/op	   0.23 MB/s	        10.00 records/op	    6552 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6546451 ns/op	   0.22 MB/s	        10.00 records/op	    6310 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6559431 ns/op	   0.21 MB/s	        10.00 records/op	    6886 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6265180 ns/op	   0.23 MB/s	        10.00 records/op	    6314 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/raw-franz-go-16       	      50	   6397550 ns/op	   0.22 MB/s	        10.00 records/op	    6861 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6314086 ns/op	   0.22 MB/s	        10.00 records/op	   14864 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6391952 ns/op	   0.22 MB/s	        10.00 records/op	   14897 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6285180 ns/op	   0.22 MB/s	        10.00 records/op	   14884 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6428842 ns/op	   0.22 MB/s	        10.00 records/op	   14877 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   7240135 ns/op	   0.19 MB/s	        10.00 records/op	   14909 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   7340458 ns/op	   0.19 MB/s	        10.00 records/op	   14876 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6681678 ns/op	   0.21 MB/s	        10.00 records/op	   14864 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6558099 ns/op	   0.22 MB/s	        10.00 records/op	   14864 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6453727 ns/op	   0.22 MB/s	        10.00 records/op	   14864 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6521394 ns/op	   0.22 MB/s	        10.00 records/op	   14864 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6256748 ns/op	   0.23 MB/s	        10.00 records/op	   14867 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6444854 ns/op	   0.22 MB/s	        10.00 records/op	   14869 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6371122 ns/op	   0.22 MB/s	        10.00 records/op	   14864 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6360656 ns/op	   0.22 MB/s	        10.00 records/op	   14869 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6403364 ns/op	   0.22 MB/s	        10.00 records/op	   14864 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6642479 ns/op	   0.21 MB/s	        10.00 records/op	   14864 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6409305 ns/op	   0.22 MB/s	        10.00 records/op	   14874 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6533527 ns/op	   0.22 MB/s	        10.00 records/op	   14864 B/op	     192 allocs/op
