id	version	source	line	object	variant	name	type	pattern	required	description
OAS-3.0.1-F0035	3.0.1	oas/3.0/3.0.1.md	634	Paths Object	Patterned Fields	/{path}	Path Item Object	true	false	A relative path to an individual endpoint. The field name MUST begin with a slash. The path is **appended** (no relative URL resolution) to the expanded URL from the [`Server Object`](#server-object)'s `url` field in order to construct the full URL. [Path templating](#path-templating) is allowed. When matching URLs, concrete (non-templated) paths would be matched before their templated counterparts. Templated paths with the same hierarchy but different templated names MUST NOT exist as they are identical. In case of ambiguous matching, it's up to the tooling to decide which one to use.
OAS-3.0.1-F0036	3.0.1	oas/3.0/3.0.1.md	713	Path Item Object	Fixed Fields	$ref	string	false	false	Allows for an external definition of this path item. The referenced structure MUST be in the format of a [Path Item Object](#path-item-object). If there are conflicts between the referenced definition and this Path Item's definition, the behavior is *undefined*.
OAS-3.0.1-F0037	3.0.1	oas/3.0/3.0.1.md	714	Path Item Object	Fixed Fields	summary	string	false	false	An optional, string summary, intended to apply to all operations in this path.
OAS-3.0.1-F0038	3.0.1	oas/3.0/3.0.1.md	715	Path Item Object	Fixed Fields	description	string	false	false	An optional, string description, intended to apply to all operations in this path. [CommonMark syntax](http://spec.commonmark.org/) MAY be used for rich text representation.
OAS-3.0.1-F0039	3.0.1	oas/3.0/3.0.1.md	716	Path Item Object	Fixed Fields	get	Operation Object	false	false	A definition of a GET operation on this path.
OAS-3.0.1-F0040	3.0.1	oas/3.0/3.0.1.md	717	Path Item Object	Fixed Fields	put	Operation Object	false	false	A definition of a PUT operation on this path.
OAS-3.0.1-F0041	3.0.1	oas/3.0/3.0.1.md	718	Path Item Object	Fixed Fields	post	Operation Object	false	false	A definition of a POST operation on this path.
OAS-3.0.1-F0042	3.0.1	oas/3.0/3.0.1.md	719	Path Item Object	Fixed Fields	delete	Operation Object	false	false	A definition of a DELETE operation on this path.
OAS-3.0.1-F0043	3.0.1	oas/3.0/3.0.1.md	720	Path Item Object	Fixed Fields	options	Operation Object	false	false	A definition of a OPTIONS operation on this path.
OAS-3.0.1-F0044	3.0.1	oas/3.0/3.0.1.md	721	Path Item Object	Fixed Fields	head	Operation Object	false	false	A definition of a HEAD operation on this path.
OAS-3.0.1-F0045	3.0.1	oas/3.0/3.0.1.md	722	Path Item Object	Fixed Fields	patch	Operation Object	false	false	A definition of a PATCH operation on this path.
OAS-3.0.1-F0046	3.0.1	oas/3.0/3.0.1.md	723	Path Item Object	Fixed Fields	trace	Operation Object	false	false	A definition of a TRACE operation on this path.
OAS-3.0.1-F0047	3.0.1	oas/3.0/3.0.1.md	724	Path Item Object	Fixed Fields	servers	[Server Object]	false	false	An alternative `server` array to service all operations in this path.
OAS-3.0.1-F0048	3.0.1	oas/3.0/3.0.1.md	725	Path Item Object	Fixed Fields	parameters	[Parameter Object | Reference Object]	false	false	A list of parameters that are applicable for all the operations described under this path. These parameters can be overridden at the operation level, but cannot be removed there. The list MUST NOT include duplicated parameters. A unique parameter is defined by a combination of a [name](#parameterName) and [location](#parameterIn). The list can use the [Reference Object](#reference-object) to link to parameters that are defined at the [OpenAPI Object's components/parameters](#componentsParameters).
