goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/transport-floor-16        	 2988003	        41.86 ns/op	275428.58 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/transport-floor-16        	 2775098	        42.12 ns/op	273750.19 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/transport-floor-16        	 2437659	        45.86 ns/op	251407.43 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/transport-floor-16        	 2654313	        45.29 ns/op	254604.36 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/transport-floor-16        	 2677278	        43.66 ns/op	264074.54 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/transport-floor-16        	 2975731	        40.33 ns/op	285898.40 MB/s	     240 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-16                 	   37300	      3337 ns/op	3454.80 MB/s	   15720 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-16                 	   36409	      3347 ns/op	3445.24 MB/s	   15720 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-16                 	   36522	      3400 ns/op	3391.11 MB/s	   15720 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-16                 	   35487	      3981 ns/op	2896.06 MB/s	   15720 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-16                 	   36550	      3259 ns/op	3537.93 MB/s	   15720 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-16                 	   37194	      3186 ns/op	3618.71 MB/s	   15720 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-16                 	   38962	      3185 ns/op	3619.98 MB/s	   15720 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-16                 	   35466	      3413 ns/op	3378.22 MB/s	   15720 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-16                 	   35365	      4171 ns/op	2764.50 MB/s	   15720 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-16                 	   32115	      3593 ns/op	3208.73 MB/s	   15720 B/op	      81 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16        	   33741	      3532 ns/op	3264.51 MB/s	   16080 B/op	      88 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16        	   34300	      3598 ns/op	3204.83 MB/s	   16080 B/op	      88 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16        	   20067	      5558 ns/op	2074.34 MB/s	   16080 B/op	      88 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16        	   21572	      7049 ns/op	1635.79 MB/s	   16080 B/op	      88 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16        	   31166	      3814 ns/op	3023.33 MB/s	   16080 B/op	      88 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16        	   23406	      4351 ns/op	2650.18 MB/s	   16080 B/op	      88 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16        	   32284	      3809 ns/op	3026.95 MB/s	   16080 B/op	      88 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16        	   24864	      4193 ns/op	2749.78 MB/s	   16080 B/op	      88 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16        	   32222	      3774 ns/op	3055.25 MB/s	   16080 B/op	      88 allocs/op
BenchmarkProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16        	   30463	      3940 ns/op	2926.15 MB/s	   16080 B/op	      88 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/transport-floor-16        	  304040	       393.5 ns/op	65305.23 MB/s	    2688 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/transport-floor-16        	  325360	       499.7 ns/op	51429.16 MB/s	    2688 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/transport-floor-16        	  149586	       769.7 ns/op	33389.91 MB/s	    2688 B/op	       1 allocs/op
