goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16         	 2964038	        40.52 ns/op	284575.19 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16         	 2930408	        40.70 ns/op	283290.36 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16         	 2863597	        42.05 ns/op	274169.41 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16         	 2955343	        40.93 ns/op	281682.57 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16         	 2921185	        41.32 ns/op	279038.42 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16         	 2883194	        41.34 ns/op	278896.17 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16         	 2883656	        41.17 ns/op	280037.64 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16         	 2915217	        41.69 ns/op	276535.40 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16         	 2899706	        41.09 ns/op	280588.65 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16         	 2929994	        41.01 ns/op	281127.28 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                  	   59769	      2062 ns/op	5593.01 MB/s	    4008 B/op	      39 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                  	   60811	      1976 ns/op	5835.91 MB/s	    4008 B/op	      39 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                  	   61336	      1956 ns/op	5895.22 MB/s	    4008 B/op	      39 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                  	   61406	      1936 ns/op	5956.07 MB/s	    4008 B/op	      39 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                  	   62254	      1925 ns/op	5988.59 MB/s	    4008 B/op	      39 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                  	   62457	      1929 ns/op	5978.67 MB/s	    4008 B/op	      39 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                  	   61506	      1954 ns/op	5902.12 MB/s	    4008 B/op	      39 allocs/op
BenchmarkConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                  	   62431	      1980 ns/op	5824.37 MB/s	    4008 B/op	      39 allocs/op
